point	title	description	icon
48.5751000,7.7534100	Pont de la Bourse (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5739600,7.7518700	Centre administratif / entrée arrière du parking (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5740400,7.7534800	Place de l'Etoile / Centre administratif / 1 (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5742800,7.7498100	Pont de la Porte de l'Hôpital (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5746400,7.7497600	Angle du quai Fustel de Coulanges et de la rue de la Porte de l'Hôpital (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5741600,7.7552000	Place de l'Etoile / Place Dauphine (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5730300,7.7536900	Place de l'Etoile / Centre administratif / 2 (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5796400,7.7618500	Place du Foin (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5811440,7.7682265	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
48.5787800,7.7696200	Angle de l'avenue de Gaulle et de la rue de Londres (Esplanade)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5810700,7.7699500	Angle de la rue Vauban et du boulevard de la Victoire (Esplanade)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5810000,7.7698900	Jonction du boulevard de la Victoire et de la rue Vauban (Esplanade)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5706372,7.7641433	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
48.5725500,7.7652400	Angle de la route du Rhin et du pont Churchill (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5737400,7.7661500	Place Churchill (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5726600,7.7627300	Route du Rhin (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5739700,7.7662600	Pont Churchill (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5745300,7.7666700	Angle du quai des Alpes et du pont Churchill (Esplanade)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5715800,7.7702200	Route du Rhin / Rue de Lièpvre (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5678300,7.7515500	Avenue de Colmar / Schluthfeld (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5613600,7.7515100	Angle de l'avenue de Colmar et de la route de la Fédération (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5621400,7.7526000	Angle de l'avenue de Colmar et de la rue de l'Extenwoerth (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5694418,7.7630981	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
48.5654600,7.7594300	Angle de la route du Polygone et de l'avenue Léon Dacheux (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5696100,7.7631000	Avenue Jean Jaurès / Tram Landsberg (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5695100,7.7630600	Angle de l'avenue Jean Jaurès et de la rue de Rathsamhausen (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5669400,7.7730400	Angle des avenues Jean Jaurès et Aristide Briand (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5692400,7.7783100	Route du Rhin / Avenue Aristide Briand (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5670900,7.7733600	Avenue Aristide Briand / Avenue Jean Jaurès (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5610800,7.7639300	Angle de la route du Polygone et de la rue de la Gravière (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5641500,7.7688800	Angle des rues de Ribeauvillé et de Bâle (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5804900,7.7792300	Angle du boulevard d'Anvers et de l'avenue de la Forêt Noire (Orangerie-Quinze)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5705700,7.7854700	Angle des routes du Rhin et du Petit Rhin (Port du Rhin)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5727600,7.7944500	Angle de la route du Rhin et de la rue Couleaux (Port du Rhin)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5719300,7.7951300	Angle de l'avenue du pont de l'Europe et de la rue des Cavaliers (Port du Rhin)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5584500,7.7490400	Avenue de Colmar / Couffignal (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5486600,7.7490700	Angle des rues de Bourgogne et de la Canardière (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5521600,7.7517300	Angle de la rue de Franche-Comté et de la route de la Meinau (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5489400,7.7562600	Rue Jean Hoepfner (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5490800,7.7538100	Angle de la rue Schulmeister et de l'avenue de Normandie (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5504100,7.7558900	Angle des rues Schulmeister et Louis Loucheur (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5496700,7.7505100	Place de l'Ile de France / Pôle Sud (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5509600,7.7508300	Place de l'Ile de France / Rue de Franche-Comté (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5544300,7.7663400	Angle de la route du Neuhof et de la rue des Canonniers (Neuhof)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5543200,7.7630200	Rue des Canonniers (Neuhof)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5516500,7.7666900	Rue de l'Indre (Neuhof)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5513300,7.7578900	Angle de la rue du Rhin tortu et de la route de la Meinau (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5501700,7.7721000	Rue du Commandant François (Neuhof)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5477800,7.7555700	Rue Auguste Brion (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5468400,7.7538100	Rue Arthur Weeber (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5469300,7.7546000	Angle des rues Eugène Imbs et Auguste Brion (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5474200,7.7514900	Angle de la rue Schulmeister et de l'avenue de la Canardière (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5484500,7.7528700	Rue Schulmeister (Meinau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5444100,7.7656900	Angle de la route d'Altenheim et de la rue de la Ganzau (Neudorf)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
