point	title	description	iconSize	iconOffset	icon
50.7224532,3.1598437	Tourcoing	34 + 9 en projet</br>Source : <a href="http://www.luceor.com/IMG/pdf/LETTRE_NUMERO_2.pdf">http://www.luceor.com/IMG/pdf/LETTRE_NUMERO_2.pdf</> 	35,35	-18,-18	http://www.leretourdelautruche.com/map/cctv/cctv1.png
47.3936304,0.6929136	Tours	34 caméras</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	35,35	-18,-18	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.7764484,2.0004087	Trappes	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.9510997,2.5678283	Tremblay en France	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.2961596,4.0668060	Troyes 	Nombre de caméras inconnu</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.7554476,4.2656076	Uchaud 	10 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.3005765,6.1557876	Uckange 	31 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	34,34	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
44.0132588,4.4197927	Uzes	31 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	34,34	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.4476274,6.9815741	Val D'isere 	10 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.2670765,1.2096289	Val-de-Reuil	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
50.3461392,3.5159787	Valenciennes	50</br>Coût :?</br>Source : <a href="http://www.valenciennes.fr/fr/minisites/territoire/urbanisme-environnement/accueil/amenagement-urbain/le-cadre-de-vie.html">http://www.valenciennes.fr/fr/minisites/territoire/urbanisme-environnement/accueil/amenagement-urbain/le-cadre-de-vie.html</> 	37,37	-19,-19	http://www.leretourdelautruche.com/map/cctv/cctv1.png
44.4073642,4.3950093	Vallon Pont d'Arc	1</br>Source : <a href="http://www.ardeche.pref.gouv.fr/sections/actions_de_letat/securite/securite_publique/videosurveillance_go/view">http://www.ardeche.pref.gouv.fr/sections/actions_de_letat/securite/securite_publique/videosurveillance_go/view</> 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
